Anio;Mes;Variacion;Variacion_unidad;IPCS_Update
2018;Enero;0,63;1,0063;1,031721443
2018;Febrero;0,71;1,0071;1,025262291
2018;Marzo;0,24;1,0024;1,018034248
2018;Abril;0,46;1,0046;1,015596815
2018;Mayo;0,25;1,0025;1,010946462
2018;Junio;0,15;1,0015;1,008425398
2018;Julio;-0,13;0,9987;1,006915025
2018;Agosto;0,12;1,0012;1,008225719
2018;Septiembre;0,16;1,0016;1,007017298
2018;Octubre;0,12;1,0012;1,005408644
2018;Noviembre;0,12;1,0012;1,0042036
2018;Diciembre;0,3;1,003;1,003
2019;Enero;0,6;1;1
