"","Anio","Mes","Factor"
"1",2015,"Enero",1.21251574060355
"2",2015,"Febrero",1.20480498867602
"3",2015,"Marzo",1.19110725524075
"4",2015,"Abril",1.18412094168481
"5",2015,"Mayo",1.17776103211141
"6",2015,"Junio",1.17470679444585
"7",2015,"Julio",1.17353326118466
"8",2015,"Agosto",1.17130777640949
"9",2015,"Septiembre",1.16571235709543
"10",2015,"Octubre",1.15737922666345
"11",2015,"Noviembre",1.14956220367844
"12",2015,"Diciembre",1.14270596787121
"13",2016,"Enero",1.13566484582708
"14",2016,"Febrero",1.12120134843231
"15",2016,"Marzo",1.1070313471883
"16",2016,"Abril",1.09672215889469
"17",2016,"Mayo",1.09126582974596
"18",2016,"Junio",1.0857286138155
"19",2016,"Julio",1.08054201215714
"20",2016,"Agosto",1.07495226040305
"21",2016,"Septiembre",1.0784031504846
"22",2016,"Octubre",1.0789426217955
"23",2016,"Noviembre",1.07959037602111
"24",2016,"Diciembre",1.07840413147648
"25",2017,"Enero",1.07389377761052
"26",2017,"Febrero",1.06305066086965
"27",2017,"Marzo",1.05242120668216
"28",2017,"Abril",1.04749796624083
"29",2017,"Mayo",1.04259775678394
"30",2017,"Junio",1.0402052846293
"31",2017,"Julio",1.03906231608161
"32",2017,"Agosto",1.03958210713517
"33",2017,"Septiembre",1.03812872691749
"34",2017,"Octubre",1.0377136414609
"35",2017,"Noviembre",1.03750614023286
"36",2017,"Diciembre",1.03564198466047
"37",2018,"Enero",1.0317214431764
"38",2018,"Febrero",1.02526229074471
"39",2018,"Marzo",1.01803424758684
"40",2018,"Abril",1.01559681523029
"41",2018,"Mayo",1.01094646150735
"42",2018,"Junio",1.00842539801232
"43",2018,"Julio",1.00691502547411
"44",2018,"Agosto",1.00822571890869
"45",2018,"Septiembre",1.00701729815091
"46",2018,"Octubre",1.00540864432
"47",2018,"Noviembre",1.0042036
"48",2018,"Diciembre",1.003
"49",2019,"Enero",1
