"Año","Mes","Día","Periodo","Fecha_siniestro","Cantidad_siniestros","Valor_siniestro_incurrido_update"
"2018","01","01",201801,2018-01-01,59,231334801.182284
"2018","01","02",201801,2018-01-02,64,237311818.336779
"2018","01","03",201801,2018-01-03,52,211603698.095145
"2018","01","04",201801,2018-01-04,62,289397034.225738
"2018","01","05",201801,2018-01-05,39,185970337.420993
"2018","01","06",201801,2018-01-06,56,221639482.645088
"2018","01","07",201801,2018-01-07,39,203356614.169539
"2018","01","08",201801,2018-01-08,41,190564260.792367
"2018","01","09",201801,2018-01-09,50,152862601.62769
"2018","01","10",201801,2018-01-10,51,245095654.175872
"2018","01","11",201801,2018-01-11,35,112724540.52914
"2018","01","12",201801,2018-01-12,49,168451742.397382
"2018","01","13",201801,2018-01-13,37,157470247.925978
"2018","01","14",201801,2018-01-14,48,127510197.273452
"2018","01","15",201801,2018-01-15,63,251515166.340055
"2018","01","16",201801,2018-01-16,37,107976852.489065
"2018","01","17",201801,2018-01-17,48,153720305.710063
"2018","01","18",201801,2018-01-18,55,287845840.004466
"2018","01","19",201801,2018-01-19,52,153062177.823624
"2018","01","20",201801,2018-01-20,63,203363366.786383
"2018","01","21",201801,2018-01-21,32,132380999.601599
"2018","01","22",201801,2018-01-22,40,90382175.231083
"2018","01","23",201801,2018-01-23,35,145568891.250423
"2018","01","24",201801,2018-01-24,40,152148102.545048
"2018","01","25",201801,2018-01-25,39,122074421.187955
"2018","01","26",201801,2018-01-26,36,120056911.572318
"2018","01","27",201801,2018-01-27,48,163150248.984576
"2018","01","28",201801,2018-01-28,38,215942108.429111
"2018","01","29",201801,2018-01-29,55,183684744.273886
"2018","01","30",201801,2018-01-30,51,226209924.03642
"2018","01","31",201801,2018-01-31,42,210675256.095475
"2018","02","01",201802,2018-02-01,28,152491764.517674
"2018","02","02",201802,2018-02-02,52,221945360.480677
"2018","02","03",201802,2018-02-03,46,131712145.180193
"2018","02","04",201802,2018-02-04,37,113117516.649963
"2018","02","05",201802,2018-02-05,52,159427204.598783
"2018","02","06",201802,2018-02-06,33,114029164.500186
"2018","02","07",201802,2018-02-07,36,112499966.313176
"2018","02","08",201802,2018-02-08,38,138605305.494945
"2018","02","09",201802,2018-02-09,43,113376593.254063
"2018","02","10",201802,2018-02-10,50,176244768.555793
"2018","02","11",201802,2018-02-11,45,178694498.490777
"2018","02","12",201802,2018-02-12,37,108478820.965825
"2018","02","13",201802,2018-02-13,43,172972971.012737
"2018","02","14",201802,2018-02-14,41,98755051.9265555
"2018","02","15",201802,2018-02-15,46,146647554.153893
"2018","02","16",201802,2018-02-16,38,154221305.10792
"2018","02","17",201802,2018-02-17,55,150234022.123516
"2018","02","18",201802,2018-02-18,48,153958704.677326
"2018","02","19",201802,2018-02-19,32,126249992.657579
"2018","02","20",201802,2018-02-20,52,169449310.611061
"2018","02","21",201802,2018-02-21,52,177896282.584644
"2018","02","22",201802,2018-02-22,61,300889927.376631
"2018","02","23",201802,2018-02-23,63,279450657.356907
"2018","02","24",201802,2018-02-24,45,208484403.763434
"2018","02","25",201802,2018-02-25,39,137265179.002805
"2018","02","26",201802,2018-02-26,43,179735156.120339
"2018","02","27",201802,2018-02-27,45,197689472.465659
"2018","02","28",201802,2018-02-28,34,118013747.968978
"2018","03","01",201803,2018-03-01,57,200977188.748779
"2018","03","02",201803,2018-03-02,41,138936489.702739
"2018","03","03",201803,2018-03-03,47,185766850.015144
"2018","03","04",201803,2018-03-04,44,141048755.008099
"2018","03","05",201803,2018-03-05,43,204495650.508422
"2018","03","06",201803,2018-03-06,34,127472908.944929
"2018","03","07",201803,2018-03-07,44,129853796.839104
"2018","03","08",201803,2018-03-08,55,300104360.32413
"2018","03","09",201803,2018-03-09,48,153356219.985274
