"Año","Mes","Día","Periodo","Cantidad_siniestros","Valor_siniestro_incurrido_update"
"2018","01","01",201801,1,1462347.529208
"2018","01","02",201801,2,7327703.53537041
"2018","01","04",201801,3,477045.297371454
"2018","01","05",201801,2,2176136.78749745
"2018","01","06",201801,1,4661773.5003518
"2018","01","08",201801,2,5522289.0236575
"2018","01","09",201801,1,3095164.329
"2018","01","10",201801,3,6520083.33872589
"2018","01","11",201801,3,357578.144600712
"2018","01","12",201801,3,4464973.666821
"2018","01","13",201801,3,11310752.894116
"2018","01","14",201801,1,2232681.3129025
"2018","01","15",201801,2,3780411.01356885
"2018","01","16",201801,2,1514004.79013756
"2018","01","17",201801,3,6212583.92124695
"2018","01","18",201801,2,2042704.25327426
"2018","01","19",201801,3,2848565.36485847
"2018","01","20",201801,3,1658384.92059243
"2018","01","22",201801,2,2480505.96211832
"2018","01","23",201801,4,3968851.83996847
"2018","01","24",201801,3,5574818.0892064
"2018","01","25",201801,3,1739344.10222464
"2018","01","26",201801,2,9442998.67765271
"2018","01","27",201801,1,1214633.27418658
"2018","01","28",201801,2,2265165.06253536
"2018","01","29",201801,2,1936035.60500393
"2018","01","30",201801,4,2466531.29517289
"2018","01","31",201801,5,9753326.0436069
"2018","02","01",201802,2,2122942.95866249
"2018","02","03",201802,2,4347473.00616643
"2018","02","04",201802,3,2294611.85140524
"2018","02","05",201802,2,1805300.29671404
"2018","02","06",201802,2,2660501.30624358
"2018","02","07",201802,4,6048061.21457606
"2018","02","08",201802,2,1635883.90522462
"2018","02","09",201802,1,889585.230982806
"2018","02","11",201802,3,5090959.38594403
"2018","02","12",201802,3,31717887.4298499
"2018","02","13",201802,3,4688025.15400728
"2018","02","14",201802,5,6208257.42228252
"2018","02","15",201802,3,1417260.05007865
"2018","02","16",201802,1,382317.232527027
"2018","02","17",201802,1,0
"2018","02","18",201802,2,4188606.5636514
"2018","02","19",201802,1,2493189.77823758
"2018","02","20",201802,1,3596039.81837129
"2018","02","21",201802,4,5376870.17998603
"2018","02","22",201802,2,7316919.67434391
"2018","02","23",201802,1,1353207.81371071
"2018","02","24",201802,1,564140.32299984
"2018","02","25",201802,4,4331350.75664046
"2018","02","26",201802,1,0
"2018","02","27",201802,3,1794194.65557793
"2018","02","28",201802,4,10414151.9586848
