"Año","Mes","Día","Periodo","Cantidad_siniestros","Valor_siniestro_incurrido_update"
"2018","01","01",201801,1,6699342.87600425
"2018","01","02",201801,11,26066326.7045934
"2018","01","03",201801,16,32570302.8081512
"2018","01","04",201801,7,14809206.8179703
"2018","01","05",201801,16,92102331.3779107
"2018","01","06",201801,8,11120532.3482272
"2018","01","07",201801,8,69791738.9734125
"2018","01","08",201801,5,20397609.5834167
"2018","01","09",201801,15,30870282.7687265
"2018","01","10",201801,10,17369542.2267407
"2018","01","11",201801,8,15635751.8810438
"2018","01","12",201801,11,21366151.5004117
"2018","01","13",201801,12,22164990.7158548
"2018","01","14",201801,5,5965192.5950372
"2018","01","15",201801,12,18784863.8925768
"2018","01","16",201801,7,16925904.0696936
"2018","01","17",201801,7,14750539.0098355
"2018","01","18",201801,8,33916871.5887471
"2018","01","19",201801,16,30976628.4881851
"2018","01","20",201801,11,18542868.4695139
"2018","01","21",201801,3,7310352.04414204
"2018","01","22",201801,15,22456639.796805
"2018","01","23",201801,7,12804752.6054738
"2018","01","24",201801,14,18476560.7640938
"2018","01","25",201801,5,10461277.8219719
"2018","01","26",201801,6,11828492.3803637
"2018","01","27",201801,15,21939591.5639241
"2018","01","28",201801,7,12200426.9288438
"2018","01","29",201801,10,19629465.1126242
"2018","01","30",201801,11,36533941.3596682
"2018","01","31",201801,10,15159347.2826884
"2018","02","01",201802,10,8820588.83030804
"2018","02","02",201802,15,20156344.9613235
"2018","02","03",201802,11,30358065.6491
"2018","02","04",201802,7,14830722.5169531
"2018","02","05",201802,10,12906244.706271
"2018","02","06",201802,12,36523377.9097994
"2018","02","07",201802,12,35559863.0655371
"2018","02","08",201802,8,8914262.94478755
"2018","02","09",201802,16,21109232.9619396
"2018","02","10",201802,7,52754998.3159291
"2018","02","11",201802,5,8500031.34766627
"2018","02","12",201802,15,200425020.921079
"2018","02","13",201802,12,28791457.6916159
"2018","02","14",201802,8,11791657.4634299
"2018","02","15",201802,9,19528824.9740187
"2018","02","16",201802,12,27366862.9151075
"2018","02","17",201802,9,6957620.60551213
"2018","02","18",201802,9,185978252.980532
