"","Fecha","Numero_polizas","Suma_primas","Exposicion"
"1",2018-01-01,163923,296669931988.106,115378.378082192
"2",2018-01-02,163265,295885931991.951,115111.15890411
"3",2018-01-03,163305,295949339113.912,114862.2
"4",2018-01-04,163382,296162314302.186,114628.967123288
"5",2018-01-05,163409,296182029898.133,114393.542465753
"6",2018-01-06,163278,295964815645.973,114042.282191781
"7",2018-01-07,163150,295748245624.663,113642.526027397
"8",2018-01-08,163060,295610629590.874,113237.632876712
"9",2018-01-09,163097,295684203066.912,112926.643835616
"10",2018-01-10,163186,295913166536.204,112669.750684932
"11",2018-01-11,163230,296047667432.093,112421.353424658
"12",2018-01-12,163336,296255695092.583,112193.301369863
"13",2018-01-13,163279,296139372261.598,111864.435616438
"14",2018-01-14,163154,295928280323.87,111476.205479452
"15",2018-01-15,163212,296057947166.015,111218.397260274
"16",2018-01-16,163267,296222704413.385,111008.367123288
"17",2018-01-17,163270,296265030129.81,110761.210958904
"18",2018-01-18,163368,296487222146.749,110536.156164384
"19",2018-01-19,163443,296678790126.245,110350.249315068
"20",2018-01-20,163358,296599517991.112,110062.487671233
"21",2018-01-21,163392,296640444931.753,109862.75890411
"22",2018-01-22,163179,296327642737.749,109641.389041096
"23",2018-01-23,163315,296625904166.061,109484.991780822
"24",2018-01-24,163285,296621268778.893,109279.156164384
"25",2018-01-25,163385,296842946931.48,109075.898630137
"26",2018-01-26,163493,297115140881.75,108928.58630137
"27",2018-01-27,163382,296938759011.871,108620.405479452
"28",2018-01-28,163213,296646510575.54,108247.983561644
"29",2018-01-29,163338,296886782127.511,108074.252054795
"30",2018-01-30,163507,297306729029.21,107969.263013699
"31",2018-01-31,163807,297972317488.821,108002.306849315
"32",2018-02-01,163858,297967870767.452,108089.868493151
"33",2018-02-02,163579,297444844215.536,107908.501369863
"34",2018-02-03,163514,297339603908.775,107611.128767123
"35",2018-02-04,163692,297692762379.181,107501.767123288
"36",2018-02-05,163323,297056287006.872,107276.095890411
"37",2018-02-06,163397,297248952612.686,107064.098630137
"38",2018-02-07,163477,297399248473.124,106866.123287671
"39",2018-02-08,163630,297714175681.653,106683.654794521
"40",2018-02-09,163758,298020742798.445,106531.561643836
"41",2018-02-10,163705,297943660293.84,106227.660273973
"42",2018-02-11,163529,297643387074.608,105847.660273973
"43",2018-02-12,163601,297832591782.154,105599.879452055
"44",2018-02-13,163720,298076293421.364,105424.02739726
"45",2018-02-14,163765,298223014525.239,105204.454794521
"46",2018-02-15,163928,298573945168.875,105033.057534247
"47",2018-02-16,163887,298550685425.509,104842.482191781
"48",2018-02-17,163787,298363664487.433,104513.339726027
"49",2018-02-18,163668,298179089771.853,104129.150684932
"50",2018-02-19,163754,298352343510.418,103878.243835616
"51",2018-02-20,163866,298615259827.862,103700.676712329
"52",2018-02-21,163902,298731895216.747,103488.24109589
"53",2018-02-22,164025,298992409224.857,103295.073972603
"54",2018-02-23,164146,299270221244.224,103118.534246575
"55",2018-02-24,164101,299220723505.767,102831.726027397
"56",2018-02-25,163932,298906210419.249,102461.726027397
"57",2018-02-26,164040,299118244326.59,102259.156164384
"58",2018-02-27,164204,299507287160.496,102108.484931507
"59",2018-02-28,164602,300347223846.892,102172.778082192
"60",2018-03-01,165303,301146905934.692,102717.84109589
"61",2018-03-02,165014,301002423328.337,102946
"62",2018-03-03,164816,300693439026.335,102617.389041096
"63",2018-03-04,164680,300386486030.929,102257.704109589
"64",2018-03-05,164723,300467299735.725,101984.57260274
