"","Fecha","Numero_polizas","Suma_primas","Exposicion"
"1",2018-01-01,163912,296651961749.287,115369.369863014
"2",2018-01-02,163254,295867961753.132,115102.180821918
"3",2018-01-03,163294,295931368875.093,114853.252054795
"4",2018-01-04,163371,296144344063.367,114620.049315068
"5",2018-01-05,163398,296164059659.314,114384.654794521
"6",2018-01-06,163267,295946845407.154,114033.424657534
"7",2018-01-07,163139,295730275385.844,113633.698630137
"8",2018-01-08,163049,295592659352.055,113228.835616438
"9",2018-01-09,163086,295666232828.093,112917.876712329
"10",2018-01-10,163175,295895196297.385,112661.01369863
"11",2018-01-11,163219,296029697193.274,112412.646575342
"12",2018-01-12,163325,296237724853.763,112184.624657534
"13",2018-01-13,163268,296121402022.779,111855.789041096
"14",2018-01-14,163143,295910310085.051,111467.589041096
"15",2018-01-15,163201,296039976927.196,111209.810958904
"16",2018-01-16,163256,296204734174.566,110999.810958904
"17",2018-01-17,163259,296247059890.991,110752.684931507
"18",2018-01-18,163357,296469251907.93,110527.660273973
"19",2018-01-19,163432,296660819887.426,110341.783561644
"20",2018-01-20,163347,296581547752.293,110054.052054795
"21",2018-01-21,163381,296622474692.934,109854.353424658
"22",2018-01-22,163168,296309672498.93,109633.01369863
"23",2018-01-23,163304,296607933927.242,109476.646575342
"24",2018-01-24,163275,296604550553.783,109270.838356164
"25",2018-01-25,163375,296826228706.37,109067.608219178
"26",2018-01-26,163483,297098422656.641,108920.323287671
"27",2018-01-27,163372,296922040786.761,108612.169863014
"28",2018-01-28,163203,296629792350.43,108239.775342466
"29",2018-01-29,163328,296870063902.401,108066.071232877
"30",2018-01-30,163497,297290010804.1,107961.109589041
"31",2018-01-31,163797,297955599263.711,107994.180821918
"32",2018-02-01,163848,297951152542.343,108081.769863014
"33",2018-02-02,163569,297428125990.426,107900.430136986
"34",2018-02-03,163504,297322885683.666,107603.084931507
"35",2018-02-04,163682,297676044154.071,107493.750684932
"36",2018-02-05,163313,297039568781.762,107268.106849315
"37",2018-02-06,163387,297232234387.576,107056.136986301
"38",2018-02-07,163467,297382530248.014,106858.189041096
"39",2018-02-08,163620,297697457456.543,106675.747945205
