"","Fecha","Numero_polizas","Suma_primas","Exposicion"
"1",2018-01-01,164226,299701950448.007,115593.895890411
"2",2018-01-02,163564,298659271909.947,115325.857534247
"3",2018-01-03,163604,298722679031.909,115076.079452055
"4",2018-01-04,163681,298935654220.182,114842.02739726
"5",2018-01-05,163708,298955369816.13,114605.783561644
"6",2018-01-06,163578,298738675860.062,114253.704109589
"7",2018-01-07,163448,298521088716.202,113853.131506849
"8",2018-01-08,163358,298383472682.412,113447.421917808
"9",2018-01-09,163395,298457046158.45,113135.616438356
"10",2018-01-10,163485,298687120938.241,112878.463013699
"11",2018-01-11,163529,298821410894.513,112629.249315068
"12",2018-01-12,163636,299030307886.798,112401.569863014
"13",2018-01-13,163578,298913325250.348,112071.884931507
"14",2018-01-14,163454,298702841528.918,111682.98630137
"15",2018-01-15,163514,298836445273.586,111425.857534247
"16",2018-01-16,163568,298999356497.826,111215.961643836
"17",2018-01-17,163570,299041004128.725,110967.983561644
"18",2018-01-18,163670,299265182692.287,110744.008219178
"19",2018-01-19,163746,299457266599.921,110557.893150685
"20",2018-01-20,163659,299376816694.712,110269.306849315
"21",2018-01-21,163692,299416864896.508,110068.756164384
"22",2018-01-22,163481,299105255102.181,109846.564383562
"23",2018-01-23,163615,299402324130.815,109689.345205479
"24",2018-01-24,163586,299398940757.357,109482.684931507
"25",2018-01-25,163686,299620618909.944,109278.602739726
"26",2018-01-26,163794,299892812860.214,109130.465753425
"27",2018-01-27,163683,299716430990.335,108821.460273973
"28",2018-01-28,163514,299424182554.004,108448.21369863
"29",2018-01-29,163638,299663847426.867,108273.660273973
"30",2018-01-30,163809,300084986905.7,108167.849315068
"31",2018-01-31,164109,300750791585.237,108200.805479452
"32",2018-02-01,164158,300744840856.352,108288.161643836
"33",2018-02-02,163871,299233882071.42,108105.994520548
"34",2018-02-03,163804,299127216147.155,107807.82739726
"35",2018-02-04,163982,299480417952.18,107697.673972603
"36",2018-02-05,163611,298842716749.764,107471.21369863
"37",2018-02-06,163686,299036399531.625,107258.909589041
"38",2018-02-07,163768,299188080798.239,107060.706849315
"39",2018-02-08,163922,299503456173.521,106878.131506849
"40",2018-02-09,164051,299811008759.099,106726.128767123
"41",2018-02-10,164000,299735253589.813,106421.980821918
"42",2018-02-11,163823,299434246830.673,106041.178082192
"43",2018-02-12,163896,299624190872.285,105793.04109589
"44",2018-02-13,164017,299869748606.362,105616.931506849
"45",2018-02-14,164060,300015326152.85,105397.430136986
"46",2018-02-15,164224,300367093217.767,105225.243835616
"47",2018-02-16,164184,300344900315.376,105034.731506849
"48",2018-02-17,164082,300156158076.127,104704.780821918
"49",2018-02-18,163964,299972092027.003,104319.783561644
"50",2018-02-19,164047,300143375064.87,104068.073972603
"51",2018-02-20,164160,300407151526.114,103890.564383562
"52",2018-02-21,164196,300523786914.998,103677.323287671
"53",2018-02-22,164321,300786022629.669,103484.205479452
"54",2018-02-23,164440,301062208795.272,103306.860273973
"55",2018-02-24,164395,301012711056.815,103019.246575342
"56",2018-02-25,164228,300699665014.008,102648.956164384
"57",2018-02-26,164336,300911443312.182,102446.421917808
"58",2018-02-27,164502,301301869892.363,102296.621917808
"59",2018-02-28,164901,302143515409.466,102360.095890411
"60",2018-03-01,165602,302943197497.267,102904.339726027
"61",2018-03-02,165314,302799245891.856,103132.515068493
"62",2018-03-03,165114,302489157556.496,102803.087671233
"63",2018-03-04,164979,302182847264.435,102443.082191781
"64",2018-03-05,165023,302264189021.443,102170.783561644
"65",2018-03-06,165189,302564925363.111,102022.37260274
"66",2018-03-07,165266,302745616397.781,101825.37260274
"67",2018-03-08,165310,302877822624.374,101605.668493151
"68",2018-03-09,165462,303112268382.3,101449.230136986
"69",2018-03-10,165394,302979634426.996,101175.797260274
"70",2018-03-11,165183,302590122367.279,100810.257534247
"71",2018-03-12,165270,302747150703.765,100573
"72",2018-03-13,165411,302983341765.825,100362.279452055
"73",2018-03-14,165553,303263975746.009,100196.273972603
"74",2018-03-15,165564,303346325289.746,100018.18630137
"75",2018-03-16,165879,303800788784.499,100014.989041096
"76",2018-03-17,165654,303453673826.732,99723.9479452055
"77",2018-03-18,165480,303097653911.567,99359.7178082192
"78",2018-03-19,165354,302853139119.791,98968.2767123288
"79",2018-03-20,165489,303119138611.215,98730.4465753425
"80",2018-03-21,165600,303367365505.11,98498.8465753425
"81",2018-03-22,165793,303765324866.333,98360.8438356164
"82",2018-03-23,165923,304024332280.16,98241.3561643836
"83",2018-03-24,165823,303831112044.073,97927.8794520548
"84",2018-03-25,165674,303546329888.055,97525.7671232877
"85",2018-03-26,165974,304132700070.718,97370.4219178082
"86",2018-03-27,166253,304670767197.021,97256.5287671233
"87",2018-03-28,166486,305104170897.391,97173.6520547945
"88",2018-03-29,166479,304986661716.169,96932.1780821918
"89",2018-03-30,166556,305034837778.319,96752.0164383562
"90",2018-03-31,166888,305311141573.684,96846.2794520548
"91",2018-04-01,168065,306695494416.695,97995.8630136986
"92",2018-04-02,166275,304233902149.85,97671.9671232877
"93",2018-04-03,166462,304613558701.542,97407.3479452055
"94",2018-04-04,166603,304855628718.967,97168.0246575342
"95",2018-04-05,166663,305022623648.261,96914.901369863
"96",2018-04-06,166780,305323166607.456,96713.4410958904
"97",2018-04-07,166703,305171079015.821,96378.9835616438
"98",2018-04-08,166573,304990686034.219,95993.8383561644
"99",2018-04-09,166627,305053268538.281,95695.4712328767
"100",2018-04-10,166769,305376698779.613,95434.9808219178
"101",2018-04-11,166844,305555109889.529,95183.4273972603
"102",2018-04-12,166813,304922368431.076,94928.7424657534
"103",2018-04-13,166835,304972437102.167,94640.5534246575
"104",2018-04-14,166799,304922923508.581,94245.504109589
"105",2018-04-15,166738,304854363754.992,93835.2630136986
"106",2018-04-16,166812,305013534335.319,93526.1232876712
"107",2018-04-17,166898,305238707877.051,93241.4657534247
"108",2018-04-18,167022,305522083426.995,92984.2849315068
"109",2018-04-19,167073,305663297756.224,92701.2904109589
"110",2018-04-20,167246,305946557796.575,92497.0054794521
"111",2018-04-21,167337,306218974113.031,92243.1424657534
"112",2018-04-22,167195,305974704346.765,91822.8493150685
"113",2018-04-23,167319,306196741154.837,91531.2438356164
"114",2018-04-24,167495,306577048893.057,91272.0301369863
"115",2018-04-25,167641,306845649351.027,91026.2082191781
"116",2018-04-26,167768,307141569800.296,90830.5780821918
"117",2018-04-27,167983,307615771031.136,90651.6904109589
"118",2018-04-28,167983,307611923165.364,90349.1424657534
"119",2018-04-29,167815,307247254393.078,89960.7917808219
"120",2018-04-30,168402,308226360050.834,89997.504109589
"121",2018-05-01,168799,308790563231.388,90191.9150684932
"122",2018-05-02,167770,307377954953.276,89906.0821917808
"123",2018-05-03,167823,307462104694.458,89616.5671232877
"124",2018-05-04,167932,307676496944.33,89356.298630137
"125",2018-05-05,167886,307582865645.192,89019.4767123288
"126",2018-05-06,167727,307283858053.314,88618.1698630137
"127",2018-05-07,167776,307430755520.18,88289.6054794521
"128",2018-05-08,167918,307722721603.384,87982.2630136986
"129",2018-05-09,167953,307829744834.373,87668.0465753425
"130",2018-05-10,168055,308015293114.318,87367.3780821918
"131",2018-05-11,168061,308036017735.941,87033.7698630137
"132",2018-05-12,168011,307970201884.078,86666.298630137
"133",2018-05-13,167838,307622265777.194,86240.7397260274
"134",2018-05-14,167748,307426567412.239,85820.8520547945
"135",2018-05-15,167947,307833513448.173,85543.7835616438
"136",2018-05-16,167998,307947679008.414,85244
"137",2018-05-17,167954,307873348949.685,84908.9424657534
"138",2018-05-18,168095,308174460072.529,84649.6273972603
"139",2018-05-19,168011,307981298685.247,84268.9863013699
"140",2018-05-20,167888,307734182251.376,83855.402739726
"141",2018-05-21,167917,307832149462.774,83524.6136986301
"142",2018-05-22,168072,308105861740.195,83221.4356164383
"143",2018-05-23,168213,308355060601.664,82945.2712328767
"144",2018-05-24,168338,308581668823.775,82679.7534246575
"145",2018-05-25,168450,308742228733.919,82404.9643835616
"146",2018-05-26,168384,308635076006.908,82047.5863013699
"147",2018-05-27,168239,308311624058.96,81642.2054794521
"148",2018-05-28,168255,308374331675.016,81300.9452054795
"149",2018-05-29,168277,308411762838.404,80918.9506849315
"150",2018-05-30,168592,309058200985.736,80679.5452054795
"151",2018-05-31,168748,309275287804.856,80416.6794520548
"152",2018-06-01,168754,309506413785.981,80162.5479452055
"153",2018-06-02,168342,308903192795.981,79779.1890410959
"154",2018-06-03,168166,308548536925.118,79351.1178082192
"155",2018-06-04,168058,308308070652.607,78913.6712328767
"156",2018-06-05,168126,308419612099.417,78537.8602739726
"157",2018-06-06,168170,308482509112.427,78199.8876712329
"158",2018-06-07,168177,308507103684.28,77833.7369863014
"159",2018-06-08,168188,308478250534.478,77477.8109589041
"160",2018-06-09,168074,307996883582.569,77091.9205479452
"161",2018-06-10,167931,307725370999.865,76681.405479452
"162",2018-06-11,167801,307499322861.973,76237.0246575342
"163",2018-06-12,167887,307645444365.07,75871.8219178082
"164",2018-06-13,167974,307804751932.341,75551.7123287671
"165",2018-06-14,168040,307951490645.113,75232.2849315068
"166",2018-06-15,168222,308384955479.114,74982.4191780822
"167",2018-06-16,168052,307999484742.324,74606.7095890411
"168",2018-06-17,168238,308046717125.854,74378.8657534247
"169",2018-06-18,167859,307755627631.488,74037.2246575342
"170",2018-06-19,168051,308133913974.877,73754.9589041096
"171",2018-06-20,168385,308763041891.682,73531.1863013699
"172",2018-06-21,168269,308631209021.887,73228.9917808219
"173",2018-06-22,168438,308959472238.824,72947.6
"174",2018-06-23,168374,308824205017.553,72574.495890411
"175",2018-06-24,168278,308643671584.52,72166.0684931507
"176",2018-06-25,168325,308757413025.075,71814.9123287671
"177",2018-06-26,168406,308918456609.682,71475.9726027397
