"","Fecha","Numero_polizas","Suma_primas","Exposicion"
"1",2018-01-01,143750,263233049581.883,102426.479452055
"2",2018-01-02,143308,262478772678.494,102186.243835616
"3",2018-01-03,143325,262500297032.626,101960.654794521
"4",2018-01-04,143363,262643276327.318,101742.438356164
"5",2018-01-05,143382,262639301888.307,101538.230136986
"6",2018-01-06,143261,262433904056.374,101240.347945205
"7",2018-01-07,143144,262243646184.236,100895.402739726
"8",2018-01-08,143057,262110618024.733,100542.369863014
"9",2018-01-09,143065,262120991494.38,100259.01369863
"10",2018-01-10,143132,262289422275.525,100027.698630137
"11",2018-01-11,143144,262351154690.105,99791.2547945205
"12",2018-01-12,143230,262506753938.725,99592.4410958904
"13",2018-01-13,143176,262400763238.336,99307.0465753425
"14",2018-01-14,143059,262202176795.265,98971.1315068493
"15",2018-01-15,143065,262231020451.791,98717.7506849315
"16",2018-01-16,143099,262341699096.266,98520.402739726
"17",2018-01-17,143077,262320028610.939,98291.1780821918
"18",2018-01-18,143155,262495532492.344,98091.2821917808
"19",2018-01-19,143209,262634027527.354,97920.4602739726
"20",2018-01-20,143130,262565313934.7,97673.7863013699
"21",2018-01-21,143167,262611951995.169,97514.6410958904
"22",2018-01-22,142929,262236617620.734,97313.8
"23",2018-01-23,142989,262386863356.468,97131.8356164384
"24",2018-01-24,142981,262407135553.476,96928.7315068493
"25",2018-01-25,143053,262561817564.554,96742.2438356164
"26",2018-01-26,143141,262776628319.734,96604.2109589041
"27",2018-01-27,143031,262599264156.973,96338.1424657534
"28",2018-01-28,142870,262328741534.386,96013.5863013699
"29",2018-01-29,142957,262495072756.215,95857.7260273973
"30",2018-01-30,143075,262777897865.529,95748.1315068493
"31",2018-01-31,143306,263273843728.236,95760.7835616438
"32",2018-02-01,143439,263411052266.451,95861.4164383562
"33",2018-02-02,143130,261973459781.034,95683.3917808219
"34",2018-02-03,143064,261850711594.784,95420.9369863014
"35",2018-02-04,142951,261687486195.041,95115.0657534247
"36",2018-02-05,142626,261176276801.441,94910.104109589
"37",2018-02-06,142681,261323610368.274,94723.002739726
"38",2018-02-07,142705,261372079129.267,94516.0246575342
"39",2018-02-08,142807,261566159536.869,94331.6684931507
"40",2018-02-09,142888,261756132542.94,94182.9890410959
"41",2018-02-10,142826,261658898462.489,93910.6465753425
"42",2018-02-11,142646,261347536249.394,93571.0931506849
"43",2018-02-12,142706,261498671562.662,93340.5890410959
"44",2018-02-13,142749,261597162648.415,93139.6438356164
"45",2018-02-14,142782,261695905813.018,92946.9698630137
"46",2018-02-15,142885,261916572477.365,92772.8712328767
"47",2018-02-16,142855,261892525832.681,92589.5123287671
"48",2018-02-17,142759,261695915935.055,92292.5671232877
"49",2018-02-18,142636,261507969943.788,91949.002739726
"50",2018-02-19,142670,261583948420.581,91713.7123287671
"51",2018-02-20,142731,261735900688.844,91541.3945205479
"52",2018-02-21,142755,261801403646.825,91344.904109589
"53",2018-02-22,142847,261996738426.709,91171.2739726027
"54",2018-02-23,142924,262177522866.705,91007.104109589
"55",2018-02-24,142880,262120297881.029,90752.397260274
"56",2018-02-25,142706,261801920690.504,90425.3315068493
"57",2018-02-26,142769,261924137181.032,90229.6630136986
"58",2018-02-27,142883,262195878923.077,90084.0219178082
"59",2018-02-28,143127,262700685571.49,90060.202739726
"60",2018-03-01,143724,263353336982.755,90528.3561643836
"61",2018-03-02,142994,262487694631.273,90402.8602739726
"62",2018-03-03,142856,262256640870.828,90115.1890410959
"63",2018-03-04,142733,261990408922.366,89805.8328767123
"64",2018-03-05,142747,262014138719.078,89563.0657534247
"65",2018-03-06,142880,262235475228.803,89441.5506849315
"66",2018-03-07,142921,262355998440.576,89265.1890410959
"67",2018-03-08,142920,262376912224.248,89057.0136986301
"68",2018-03-09,143017,262489161347.632,88903.3095890411
"69",2018-03-10,142940,262329913904.413,88667.9123287671
"70",2018-03-11,142739,261980253536.796,88355.5506849315
"71",2018-03-12,142795,262056180379.369,88148.8630136986
"72",2018-03-13,142873,262161300633.71,87947.1479452055
"73",2018-03-14,142943,262282575536.858,87775.3808219178
"74",2018-03-15,142911,262262432249.91,87607.3205479452
"75",2018-03-16,143175,262618929387.523,87615.8465753425
"76",2018-03-17,142914,262206327690.689,87341.1534246575
"77",2018-03-18,142758,261887001675.881,87030.9698630137
"78",2018-03-19,142634,261637858922.066,86696.1479452055
"79",2018-03-20,142724,261796112234.767,86482.3232876712
"80",2018-03-21,142788,261933734422.043,86265.6575342466
"81",2018-03-22,142905,262174542786.757,86115.7260273973
"82",2018-03-23,142979,262292183615.797,85997.4191780822
"83",2018-03-24,142856,262049383323.997,85714.7287671233
"84",2018-03-25,142715,261784271477.762,85371.6547945206
"85",2018-03-26,142930,262189265412.602,85213.4109589041
"86",2018-03-27,143124,262551118850.425,85091.4
"87",2018-03-28,143287,262846819468.648,85000.0575342466
"88",2018-03-29,143194,262629476769.608,84749.4767123288
"89",2018-03-30,143154,262512153263.037,84535.9917808219
"90",2018-03-31,143386,262635278749.523,84599.8219178082
"91",2018-04-01,143147,262218354009.612,84703.9150684932
"92",2018-04-02,142152,260779110523.683,84416.9205479452
"93",2018-04-03,142303,261066043277.271,84185.3808219178
"94",2018-04-04,142390,261224023692.314,83958.6904109589
"95",2018-04-05,142397,261260826036.929,83721.8383561644
"96",2018-04-06,142467,261441014697.315,83534.2849315068
"97",2018-04-07,142387,261296759437.834,83248.9753424658
"98",2018-04-08,142269,261138812672.387,82921.7506849315
"99",2018-04-09,142295,261145856768.658,82661.4219178082
"100",2018-04-10,142383,261350530654.971,82415.2630136986
"101",2018-04-11,142426,261452694567.271,82182.202739726
"102",2018-04-12,142446,261489467481.082,81951.0054794521
"103",2018-04-13,142447,261492766954.585,81696.8520547945
"104",2018-04-14,142407,261425399239.066,81353.6739726027
"105",2018-04-15,142347,261352148018.105,81003.8219178082
"106",2018-04-16,142382,261431133588.092,80729.0301369863
"107",2018-04-17,142452,261585166566.85,80474.1150684931
