"Año","Mes","Día","Perdida_total_hurto","Perdida_parcial_danos","Responsabilidad_civil_bienes","Perdida_parcial_hurto","Responsabilidad_civil_personas"
"2017","01","01",1,52,2,0,0
"2017","01","02",0,59,4,1,0
"2017","01","03",2,55,9,7,0
"2017","01","04",0,33,6,6,0
"2017","01","05",1,51,12,4,0
"2017","01","06",2,48,8,2,0
"2017","01","07",3,59,6,3,0
"2017","01","08",0,42,2,0,1
"2017","01","09",0,61,9,4,0
"2017","01","10",5,58,13,2,0
"2017","01","11",0,39,7,6,1
"2017","01","12",1,47,10,4,0
"2017","01","13",5,49,9,6,0
"2017","01","14",1,64,8,0,1
"2017","01","15",1,45,7,3,0
"2017","01","16",2,43,9,3,0
"2017","01","17",1,52,8,3,0
"2017","01","18",4,46,9,6,0
"2017","01","19",1,57,9,2,0
"2017","01","20",0,53,14,4,1
"2017","01","21",3,42,13,4,0
"2017","01","22",1,44,8,2,0
"2017","01","23",1,48,11,1,0
"2017","01","24",0,36,17,3,2
"2017","01","25",2,49,11,0,0
"2017","01","26",1,49,7,4,1
"2017","01","27",0,57,13,4,0
"2017","01","28",3,46,15,1,0
"2017","01","29",1,46,3,3,0
"2017","01","30",0,44,11,1,0
"2017","01","31",1,37,12,3,0
"2018","01","01",1,59,1,1,0
"2018","01","02",0,64,11,2,0
"2018","01","03",1,52,12,0,4
"2018","01","04",1,62,4,3,3
"2018","01","05",2,39,13,2,3
"2018","01","06",1,56,7,1,1
"2018","01","07",2,39,7,0,1
"2018","01","08",1,41,4,2,1
"2018","01","09",1,50,13,1,2
"2018","01","10",2,51,9,3,1
"2018","01","11",3,35,7,3,1
"2018","01","12",6,49,10,3,1
"2018","01","13",1,37,10,3,2
"2018","01","14",1,48,4,1,1
"2018","01","15",3,63,11,2,1
"2018","01","16",1,37,5,2,2
"2018","01","17",0,48,7,3,0
"2018","01","18",5,55,5,2,3
"2018","01","19",4,52,13,3,3
"2018","01","20",4,63,9,3,2
"2018","01","21",2,32,3,0,0
"2018","01","22",2,40,13,2,2
"2018","01","23",3,35,5,4,2
"2018","01","24",2,40,10,3,4
"2018","01","25",0,39,4,3,1
"2018","01","26",3,36,4,2,2
"2018","01","27",1,48,11,1,4
"2018","01","28",3,38,7,2,0
"2018","01","29",0,55,8,2,2
"2018","01","30",2,51,9,4,2
"2018","01","31",3,42,8,5,2
"2018","02","01",0,28,9,2,1
"2018","02","02",3,52,13,0,2
"2018","02","03",5,46,10,2,1
"2018","02","04",2,37,7,3,0
"2018","02","05",0,52,8,2,2
"2018","02","06",3,33,11,2,1
"2018","02","07",2,36,11,4,1
"2018","02","08",1,38,7,2,1
"2018","02","09",2,43,14,1,2
"2018","02","10",2,50,7,0,0
"2018","02","11",3,45,5,3,0
"2018","02","12",2,37,12,3,3
"2018","02","13",2,43,10,3,2
"2018","02","14",1,41,7,5,1
"2018","02","15",1,46,8,3,1
"2018","02","16",3,38,11,1,1
"2018","02","17",1,55,9,1,0
"2018","02","18",0,48,6,2,3
"2018","02","19",0,32,11,1,3
"2018","02","20",1,52,4,1,1
"2018","02","21",2,52,9,4,2
"2018","02","22",5,61,10,2,1
"2018","02","23",0,63,14,1,0
"2018","02","24",1,45,8,1,0
"2018","02","25",2,39,3,4,2
"2018","02","26",2,43,6,1,0
"2018","02","27",1,45,3,3,1
"2018","02","28",4,34,7,4,0
"2018","03","01",0,57,12,4,1
