"Año","Mes","Día","Perdida_total_hurto","Perdida_parcial_danos","Responsabilidad_civil_bienes","Perdida_parcial_hurto","Responsabilidad_civil_personas"
"2017","01","01",0,133517846,797543,0,0
"2017","01","02",0,169847277,3368686,5264237,0
"2017","01","03",3562500,171924150,8986920,6710874,0
"2017","01","04",0,72116936,5534291,8304611,0
"2017","01","05",0,163020188,18795563,8977343,0
"2017","01","06",3292500,129012714,11878226,1866013,0
"2017","01","07",59132568,171872109,7241965,4647243,0
"2017","01","08",0,149528389,2403233,0,123294451
"2017","01","09",0,222114802,15070347,9652756,0
"2017","01","10",14679681,146464493,47354432,4274269,0
"2017","01","11",0,121626563,7029663,31651742,1041656
"2017","01","12",2392500,115140517,10383639,4440827,0
"2017","01","13",125254593,166373399,11840389,13083939,0
"2017","01","14",0,219541502,3946570,0,12116656
"2017","01","15",5430000,150611704,8640557,971810,0
"2017","01","16",7747561,107926971,16417527,1562955,0
"2017","01","17",0,139821624,17477466,3784429,0
"2017","01","18",57694156,115030247,14241349,10115113,0
"2017","01","19",161334000,173542838,11487805,7682948,0
"2017","01","20",0,149026638,19593918,14976346,2325000
"2017","01","21",71912500,102011738,16059650,9697774,0
"2017","01","22",73311000,126073218,20188772,1742177,0
"2017","01","23",42625000,197565304,7141189,5264648,0
"2017","01","24",0,84131880,15040028,15808247,6708709
"2017","01","25",2792000,116973634,17468846,0,0
"2017","01","26",34170984,215160708,10741181,3100209,2500000
"2017","01","27",0,171949852,57708020,5368099,0
"2017","01","28",3208928,165757790,24172081,2970826,0
"2017","01","29",5830833,160624743,5227510,13091619,0
"2017","01","30",0,142812060,14674029,938665,0
"2017","01","31",2392500,88332995,18654058,5777308,0
"2018","01","01",0,174123640,0,1417386,0
"2018","01","02",0,185189719,21331105,7102405,0
"2018","01","03",3199200,163422319,15188318,0,5898613
"2018","01","04",0,226218990,5894838,462378,3878613
"2018","01","05",7347004,146301740,64028713,867666,13694929
"2018","01","06",4920000,177876402,4925303,4518442,4641316
"2018","01","07",5928000,177052769,6381207,0,61194873
"2018","01","08",3376000,159133918,12195462,5352500,7575000
"2018","01","09",33363000,117180090,17152214,0,6179929
"2018","01","10",45993742,204011120,10171413,6319616,2301400
"2018","01","11",26691445,93625441,6529351,0,6341316
"2018","01","12",47942768,134224213,15937932,3586668,2301316
"2018","01","13",83016000,140832854,17680409,7228851,2911395
"2018","01","14",5752000,106476819,680946,2164035,0
"2018","01","15",12869636,213283714,16345348,3664178,67227
"2018","01","16",5e+05,94441999,4606352,0,5075000
"2018","01","17",0,129428930,13015067,3755016,0
"2018","01","18",59415836,267012317,11594061,1979899,3906224
"2018","01","19",144930763,137634366,17105592,1143788,8642632
"2018","01","20",17138394,188174250,12973781,1205472,2721484
"2018","01","21",48678274,123150566,7085587,0,0
"2018","01","22",13103090,85857320,9574695,2404240,6851248
"2018","01","23",167688582,131550748,4049740,3846825,4321316
"2018","01","24",44702747,142199005,9495778,5403414,4321316
"2018","01","25",0,116148895,9639634,1685866,0
"2018","01","26",115284155,109616729,5013564,9152663,6451248
"2018","01","27",0,155677076,16714955,0,4550079
"2018","01","28",28947536,212764654,11825311,2195520,0
"2018","01","29",0,178037149,14281660,1876510,937741
"2018","01","30",12338350,215632558,27259440,2390695,7851224
"2018","01","31",131139200,204197807,12096444,9453449,1529932
"2018","02","01",0,130571254,7636391,2070634,0
"2018","02","02",137188315,214378573,13737817,0,2571588
"2018","02","03",84263454,126998889,19247347,4240352,6341316
"2018","02","04",8883199,110330320,14026378,2238073,0
"2018","02","05",0,155228945,9307897,1760818,519836
"2018","02","06",16411765,107972995,23893382,2594947,0
"2018","02","07",7998400,109727986,11854018,10197610,20491656
"2018","02","08",345000,135190094,5872752,1595576,1529929
"2018","02","09",1545017,110583013,16721173,867666,1529932
"2018","02","10",51682279,171902127,30030087,0,0
"2018","02","11",487383,174291496,8290592,4965519,0
"2018","02","12",5652500,98962631,11746440,30936364,170070000
"2018","02","13",27100000,98610415,14433089,3048342,1041656
"2018","02","14",46371863,97335582,10566113,5187621,0
"2018","02","15",14245363,132049029,13679706,491583,3029932
"2018","02","16",79597972,160426443,17600593,372897,1041656
"2018","02","17",3199200,143640352,6786186,0,0
"2018","02","18",0,146614010,13126993,2561229,47061449
"2018","02","19",0,119069677,13664444,2431758,16983119
"2018","02","20",23841863,157265694,2804590,3507434,1640608
"2018","02","21",0,173512948,8306223,5244385,1041656
"2018","02","22",66258000,268532975,36017090,7136632,1529932
"2018","02","23",0,266877105,24286959,1319865,0
"2018","02","24",63718500,193030973,4465155,550240,0
"2018","02","25",5191999,131769134,1800000,3356961,488276
"2018","02","26",1873500,173070760,5822115,0,0
"2018","02","27",4479200,181645034,1080327,1749986,2354152
"2018","02","28",117170331,105768070,14090861,3167605,0
"2018","03","01",0,188245767,12951813,7397346,13075000
"2018","03","02",0,118661919,5288290,390000,4342546
"2018","03","03",64377724,181295889,31684724,733782,0
"2018","03","04",0,100411869,5544170,22246488,3416896
"2018","03","05",991200,193441005,17351114,0,0
"2018","03","06",0,122444060,16431528,0,517573
"2018","03","07",775690,108325239,9575113,0,0
"2018","03","08",48848300,289939111,20150463,808443,75000
"2018","03","09",133043000,146240131,14140406,1794221,0
"2018","03","10",0,190978253,15440225,6592876,3059864
"2018","03","11",7871609,123208789,8039981,3270729,0
"2018","03","12",0,138046285,13298824,1173113,0
"2018","03","13",0,113347517,25446263,3909333,2080733
"2018","03","14",0,105309045,14403792,5689964,0
"2018","03","15",0,171103151,19829070,7048212,1.9e+08
"2018","03","16",315926592,131271971,21216140,4748498,0
"2018","03","17",0,155123521,24959067,2052680,0
"2018","03","18",42727466,177399348,3628887,1226145,0
"2018","03","19",0,178074631,2128073,0,0
"2018","03","20",31340370,131356387,37651530,0,0
"2018","03","21",3759200,184749308,13208100,629667,1041656
"2018","03","22",28285363,218115051,11121795,2868131,6142798
"2018","03","23",12117774,169007533,15022792,14628481,29147951
"2018","03","24",95811260,227406629,17588557,2310323,0
"2018","03","25",0,157569714,12619532,7631676,2229908
"2018","03","26",0,230327485,42904470,4215180,0
"2018","03","27",0,158809344,20822681,6311356,699994
"2018","03","28",0,158538386,5371155,6320577,0
"2018","03","29",0,105608942,13701278,0,6575000
"2018","03","30",0,134259550,9266319,3772079,3365821
"2018","03","31",0,276381623,3651018,3438705,44795011
"2018","04","01",7757586,293208492,2373824,9289021,0
"2018","04","02",0,171007624,880000,0,9819035
"2018","04","03",0,118103713,1993202,5134620,1604932
"2018","04","04",3375999,173168773,9694627,0,5696556
"2018","04","05",140167634,177161011,22410508,0,488276
"2018","04","06",0,266678236,22087678,3711548,0
"2018","04","07",5752000,215307329,11641706,0,3777840
"2018","04","08",38892160,98564325,3293329,3432997,3240228
"2018","04","09",27479531,87855828,5511173,1950930,4551864
"2018","04","10",68318247,169971326,7715299,7399718,0
"2018","04","11",74462763,233613720,12271803,0,0
"2018","04","12",0,138082156,9366542,5390852,6075000
"2018","04","13",51273994,189396239,28071899,1087802,1794260
"2018","04","14",0,242002830,23980462,2506489,5931116
"2018","04","15",0,163408581,10990256,389905,1621727
"2018","04","16",87661774,156289582,7303437,4219964,0
"2018","04","17",47355900,176809115,7875237,0,0
"2018","04","18",0,200569278,10438331,483478,225000
"2018","04","19",1481863,194712354,18133472,0,21604932
"2018","04","20",5346500,160448238,9260766,614788,6455195
"2018","04","21",0,138892100,13800933,3079793,1529932
"2018","04","22",6205109,217269653,5803756,350000,1562484
"2018","04","23",0,335834592,8873750,0,1041640
"2018","04","24",24251210,151994232,33919074,15056937,220830
"2018","04","25",0,216185364,55030765,9284328,0
"2018","04","26",100178751,233174224,19043353,2683625,10641601
"2018","04","27",0,118565545,21200766,4636729,10446011
"2018","04","28",0,124051456,21333302,0,40800881
"2018","04","29",0,94877683,18724253,2789788,0
"2018","04","30",40786101,155970361,14684382,2709458,0
"2018","05","01",0,137571241,6009850,1086906,0
"2018","05","02",46170081,195721724,15882930,0,0
"2018","05","03",185290726,141311039,19768851,1056103,1529932
"2018","05","04",90102869,138137491,13956139,0,1529932
"2018","05","05",9262387,171485273,11938357,2756641,0
"2018","05","06",9934688,153909884,9807241,0,6075000
"2018","05","07",0,124416259,5270813,2343084,0
"2018","05","08",142333726,239634245,17059537,4234745,0
"2018","05","09",9027340,149691374,4050512,2937855,4894281
"2018","05","10",80973274,226351222,8602271,6340947,0
"2018","05","11",0,235939497,17212379,159664,3172305
"2018","05","12",61594262,225249996,19109991,8371516,2220794
"2018","05","13",42516863,177354823,12029042,3112372,3696728
"2018","05","14",0,206189364,6242167,6444877,0
"2018","05","15",43608637,259472615,10033027,0,0
"2018","05","16",0,114967879,16874154,1580741,9738384
"2018","05","17",46037198,143778314,21089760,3880089,0
"2018","05","18",97042205,204352706,12817505,7914997,0
"2018","05","19",443000,214705855,4156934,1536530,9818454
"2018","05","20",18116500,127592493,3864048,10049902,0
"2018","05","21",66235100,106110794,6688316,4017856,0
"2018","05","22",41739742,89946856,7135457,0,0
"2018","05","23",0,167262581,7145183,17021842,0
"2018","05","24",9440756,108452305,20344265,13075403,8229908
"2018","05","25",0,97360788,31233648,8082698,1529932
"2018","05","26",129812800,187295772,14435737,6614793,3259160
"2018","05","27",0,135411534,13333944,7755737,2145224
"2018","05","28",60299755,112545305,7073686,2880992,0
"2018","05","29",0,101020163,3112442,13289244,1e+06
"2018","05","30",26507296,164341356,16715964,870174,0
"2018","05","31",0,211656444,23914129,2293794,0
"2018","06","01",91577063,248860557,10538671,9420971,4089137
"2018","06","02",77802363,275506914,12531842,0,0
"2018","06","03",85446226,114859210,2448934,7097978,0
"2018","06","04",0,207167000,10452490,2733956,3540281
"2018","06","05",25802363,209231331,26120209,982642,2571564
"2018","06","06",0,187528604,2273267,0,0
"2018","06","07",42671860,173495693,10795095,1147304,0
"2018","06","08",42744400,191038925,13347616,0,1621727
"2018","06","09",9005169,161140619,16809829,8161250,1041656
"2018","06","10",86353220,125269666,2491650,3974589,0
"2018","06","11",345000,220075393,10326746,916413,0
"2018","06","12",69489946,95398752,9423759,0,4912527
"2018","06","13",3683758,161562848,8352307,1280575,0
"2018","06","14",36555910,166787655,21780991,0,0
"2018","06","15",25114200,179364550,19631539,3743493,0
"2018","06","16",74986500,192697732,4447147,11281329,13494192
"2018","06","17",0,144931452,4553834,0,1041640
"2018","06","18",46356863,102642622,24048242,4352056,0
"2018","06","19",3459379,124129983,14568704,0,1406235
"2018","06","20",0,144962452,12935399,3363398,517572
"2018","06","21",113237780,129965563,17447249,0,0
"2018","06","22",46464662,118905359,21145944,0,0
"2018","06","23",15216863,209278190,16076246,9312710,0
"2018","06","24",0,130211210,8429818,3096282,6136401
"2018","06","25",14300467,117620667,5795769,14007852,1036902
"2018","06","26",0,248133948,15192842,2584253,0
"2018","06","27",110850941,91079863,11022239,0,6685986
"2018","06","28",0,146552603,10199861,8451789,0
"2018","06","29",1507000,194896101,15508549,1147470,0
"2018","06","30",89853763,178637961,674879,1686147,781242
"2018","07","01",0,124438469,1169670,0,0
"2018","07","02",23050363,158919774,2635618,3346757,0
"2018","07","03",27940363,159197772,12365443,5357508,1842541
"2018","07","04",69555622,150750286,16273141,0,0
"2018","07","05",36984773,221544095,5684828,198060,0
"2018","07","06",0,110242729,11306141,8044777,1642373
"2018","07","07",0,203232008,10449986,0,0
"2018","07","08",0,157733847,20496984,0,510079
"2018","07","09",9409083,167670134,12927982,1978354,8088745
"2018","07","10",0,106019259,13765107,1868944,0
"2018","07","11",38150363,152666448,4895757,1375920,75000
"2018","07","12",56859742,142125577,10719427,2700849,13336000
"2018","07","13",89827808,379972302,2711805,258181,0
"2018","07","14",42416863,116076301,5977330,7734362,0
"2018","07","15",101356273,183251771,3353904,2090733,0
"2018","07","16",25426242,162155256,14603515,831516,1116656
"2018","07","17",65714563,102903922,5587871,2118208,0
"2018","07","18",8567748,168825990,3454000,2811699,604287411
"2018","07","19",5010600,139058028,10870260,177877,10634228
"2018","07","20",0,157298142,371882,6503803,0
"2018","07","21",5999200,196427334,4926493,5271034,1104155
"2018","07","22",0,112068798,6989321,0,0
"2018","07","23",40010363,118441311,8057081,0,1179154
"2018","07","24",7984200,179315706,12198260,13160775,0
"2018","07","25",34171500,145197886,5841942,0,0
"2018","07","26",105307982,151939985,4684811,0,1249988
